,Age,Gender,Stream,Internships,CGPA,Hostel,HistoryOfBacklogs,PlacedOrNot
0,22,Male,Electronics And Communication,1,8.0,Yes,Yes,1
1,21,Female,Computer Science,0,7.0,Yes,Yes,1
2,22,Female,Information Technology,1,6.0,No,No,1
3,21,Male,Information Technology,0,8.0,No,Yes,1
4,22,Male,Mechanical,0,8.0,Yes,No,1
5,22,Male,Electronics And Communication,0,6.0,No,No,0
6,21,Male,Computer Science,0,7.0,No,Yes,0
7,21,Male,Information Technology,1,7.0,No,No,0
8,21,Male,Computer Science,2,6.0,No,No,1
9,21,Female,Computer Science,1,6.0,Yes,No,0
10,22,Male,Computer Science,1,7.0,No,No,0
11,22,Female,Electrical,1,8.0,No,Yes,1
12,21,Female,Computer Science,2,6.0,Yes,Yes,0
13,21,Male,Computer Science,1,8.0,No,Yes,1
14,21,Female,Electronics And Communication,2,8.0,No,No,1
15,22,Male,Mechanical,0,8.0,Yes,No,1
16,22,Female,Computer Science,1,7.0,Yes,No,0
17,21,Male,Civil,0,6.0,No,No,0
18,21,Male,Computer Science,1,7.0,No,No,0
19,22,Male,Computer Science,1,7.0,No,No,0
20,22,Male,Civil,0,8.0,No,No,1
21,21,Male,Computer Science,1,6.0,No,No,0
22,22,Male,Civil,0,7.0,No,No,0
23,22,Male,Electronics And Communication,1,7.0,No,Yes,0
24,22,Male,Electronics And Communication,0,7.0,No,No,0
25,21,Male,Electrical,0,8.0,Yes,No,1
26,22,Male,Electrical,1,8.0,No,No,1
27,22,Male,Information Technology,1,8.0,No,No,1
28,22,Male,Information Technology,1,8.0,No,No,1
29,21,Male,Information Technology,0,6.0,No,No,1
30,22,Male,Mechanical,1,8.0,Yes,No,1
31,21,Male,Electrical,1,7.0,No,No,1
32,21,Female,Civil,1,7.0,No,No,0
33,21,Male,Electrical,0,7.0,No,No,0
34,21,Male,Computer Science,1,6.0,No,No,1
35,21,Male,Information Technology,1,6.0,No,No,0
36,22,Male,Civil,0,7.0,No,No,1
37,22,Male,Computer Science,1,8.0,No,No,1
38,22,Male,Information Technology,1,6.0,No,No,0
39,22,Male,Electronics And Communication,0,8.0,No,Yes,1
40,22,Male,Electrical,1,6.0,No,Yes,0
41,22,Male,Civil,0,8.0,Yes,No,1
42,21,Male,Electrical,1,7.0,Yes,Yes,1
43,21,Male,Electrical,1,7.0,No,No,1
44,22,Female,Information Technology,2,8.0,No,No,1
45,21,Female,Electronics And Communication,3,6.0,No,No,1
46,22,Male,Computer Science,1,8.0,No,No,1
47,21,Male,Electronics And Communication,1,7.0,No,Yes,1
48,21,Male,Information Technology,2,7.0,No,No,1
49,21,Female,Electronics And Communication,0,7.0,No,No,0
50,22,Male,Electronics And Communication,0,8.0,No,No,1
51,21,Male,Electrical,1,8.0,No,No,1
52,21,Female,Computer Science,1,8.0,Yes,No,1
53,21,Male,Electrical,3,6.0,Yes,Yes,0
54,21,Female,Electronics And Communication,3,6.0,No,No,1
55,21,Male,Computer Science,1,7.0,No,No,1
56,21,Male,Electronics And Communication,0,8.0,No,No,1
57,21,Male,Civil,0,8.0,No,No,1
58,21,Male,Electronics And Communication,0,8.0,No,No,1
59,21,Female,Electrical,1,8.0,No,No,1
60,21,Male,Computer Science,2,9.0,No,Yes,1
61,22,Male,Computer Science,0,8.0,No,No,1
62,21,Male,Information Technology,0,8.0,No,No,1
63,21,Male,Information Technology,0,9.0,No,No,1
64,21,Male,Information Technology,1,8.0,Yes,No,1
65,22,Male,Mechanical,0,9.0,No,No,1
66,22,Male,Computer Science,1,9.0,No,No,1
67,21,Male,Information Technology,0,8.0,No,No,1
68,22,Male,Computer Science,2,9.0,No,No,1
69,21,Male,Mechanical,0,8.0,Yes,Yes,1
70,22,Male,Electrical,1,8.0,No,No,1
71,22,Male,Information Technology,0,9.0,No,No,1
72,22,Male,Computer Science,3,9.0,No,No,1
73,21,Male,Information Technology,0,8.0,No,No,1
74,22,Male,Information Technology,1,9.0,No,No,1
75,21,Male,Civil,0,8.0,No,No,1
76,21,Male,Mechanical,0,9.0,Yes,No,1
77,22,Male,Mechanical,0,8.0,Yes,Yes,1
78,22,Male,Information Technology,0,8.0,No,No,1
79,21,Male,Computer Science,1,8.0,No,No,1
80,21,Male,Civil,0,9.0,No,No,1
81,21,Male,Computer Science,1,9.0,No,No,1
82,22,Male,Mechanical,0,8.0,Yes,No,1
83,21,Male,Information Technology,0,8.0,No,No,1
84,21,Male,Mechanical,0,8.0,Yes,No,1
85,21,Male,Electronics And Communication,2,7.0,No,No,1
86,21,Male,Computer Science,0,8.0,No,No,1
87,21,Male,Computer Science,0,6.0,No,No,0
88,22,Female,Civil,1,6.0,Yes,No,0
89,22,Male,Mechanical,1,7.0,No,No,0
90,21,Male,Civil,1,8.0,No,Yes,1
